RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL518-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL585-mf	RL591-mf	RL601-mf	RL605-mf	RL606-mf	RL607-mf	RL610-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL641-mf	RL651-mf	RL654-mf	RL656-mf	RL659-mf	RL663-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL682-mf	RL683-mf	RL686-mf	RL691-mf	RL693-mf	RL700-mf	RL703-mf	RL704-mf	RL725-mf
RL509-mf	1	0.785108972283802	0.156087304476445	-0.528945529735442	0.907571001078929	0.631904215806319	0.74522206505233	-0.654902478235904	0.826160661274405	0.76799676205828	-0.760372249293121	0.810957188735142	0.243156175964014	0.735702459226675	-0.675003444209815	-0.825008076457807	0.537638695690844	0.84041198078907	-0.0944651454429262	0.20205510862474	0.324090796013706	-0.718111592664058	0.7185206962994	-0.442159621358098	0.706870572522829	-0.279345566842958	-0.916769506341109	-0.780446683885609	-0.666618078369398	-0.0261534364118531	-0.684756143216376	-0.583443080197072	0.535031256052033	0.689018048280767	-0.705524386744346	-0.672524344308634	-0.681544220311895	-0.697648330229028	-0.715385102102442	-0.602584026055057
RL511-mf	0.785108972283802	1	0.558324068290019	-0.182167023453261	0.82508394868552	0.953770192133007	0.921064838746999	-0.962004938583172	0.881422523614217	0.981774369634731	-0.801284373364029	0.995926643203964	0.684119036750337	0.982658362729987	-0.265967871592562	-0.538256626026223	0.77137821440558	0.876361593460955	-0.544909997551208	-0.247409469718329	0.228282335557266	-0.968588284908423	0.711060722199408	-0.372682284247142	0.681530952746073	0.302902749978015	-0.912492156812297	-0.758028169564646	-0.72289639998854	-0.443460709577602	-0.920534462712278	-0.949831502467889	0.567944242418954	0.79195005472752	-0.453558906140018	-0.968746431034518	-0.748103719285861	-0.954523548770242	-0.98266875369635	-0.862467203817119
RL514-mf	0.156087304476445	0.558324068290019	1	0.554203795757583	0.133266025467289	0.546769658549054	0.345540412625706	-0.541547963423592	0.396576227903753	0.497325022434984	-0.464591425113718	0.539071962175995	0.58480733040913	0.596362611929166	0.126740628671953	-0.048787322787955	0.299888815860679	0.133288573390978	-0.693081719931789	-0.48140233692358	-0.070587997071692	-0.498470014651788	0.519207442198422	0.356331937326685	0.438559033176852	0.555735662326339	-0.483081095085308	-0.455060500706856	-0.761643752896731	-0.538563698334401	-0.406388475312197	-0.730137597297716	-0.249434547977991	0.684342624882635	-0.281941591803147	-0.591372034248842	-0.156689857219146	-0.500464449823604	-0.509071773513873	-0.425187545071831
RL516-mf	-0.528945529735442	-0.182167023453261	0.554203795757583	1	-0.596866562365691	-0.0823902351391524	-0.441139767654459	0.211783174334216	-0.329608405532585	-0.269335234418783	0.392763274648388	-0.216152133378805	0.156515505958828	-0.10115703484112	0.241194855579899	0.681491553425458	-0.245613747045743	-0.598197128032967	-0.562089946590418	-0.597589305381739	-0.388305048964578	0.215367267229722	-0.0365754281795188	0.580319414240224	-0.136110406268937	0.624996071481872	0.289553057223242	0.0284774971727724	-0.13727097774353	-0.416179459435302	0.274169949825676	-0.0748910039427814	-0.738503100369352	0.100149456094363	0.355176836899737	0.115263486710737	0.630329877521973	0.103410796561211	0.135250085657861	0.180909232031245
RL518-mf	0.907571001078929	0.82508394868552	0.133266025467289	-0.596866562365691	1	0.742778225056012	0.866141483741008	-0.741604195951453	0.742738200180747	0.810813460553168	-0.872215121116413	0.841589135453871	0.351782859036445	0.787927697116168	-0.369187896786987	-0.762317241009024	0.587380025757688	0.945417698848123	-0.10356873876146	0.167632681670029	0.471971250008746	-0.790932239185451	0.476297374219932	-0.704636483300826	0.505296229587679	-0.100044649376664	-0.886637144136504	-0.657822205936865	-0.509051539223284	-0.105120470718745	-0.813903972927786	-0.626339269338513	0.768476798978997	0.496634620541672	-0.526453663588447	-0.76411974999146	-0.828988262289394	-0.779249063279066	-0.788246654519155	-0.623033998984875
RL528-mf	0.631904215806319	0.953770192133007	0.546769658549054	-0.0823902351391524	0.742778225056012	1	0.859112710254509	-0.930296092163498	0.719015584970082	0.913183112810844	-0.744310182133897	0.930302841309544	0.642315561636871	0.979611091310239	-0.116820839754024	-0.297793903859895	0.665839151995186	0.83696142860838	-0.69878253966601	-0.473269831616652	0.352005177403727	-0.90445518681643	0.516788728252833	-0.453218994899526	0.454248632020837	0.533010897122093	-0.79982340755378	-0.667027983626834	-0.62094540643786	-0.650039222097173	-0.896430446720493	-0.95845033157993	0.593106500335237	0.633954535269202	-0.205534955522093	-0.987722437061462	-0.635291165789995	-0.928107906160905	-0.962787264184221	-0.793314678727397
RL568-mf	0.74522206505233	0.921064838746999	0.345540412625706	-0.441139767654459	0.866141483741008	0.859112710254509	1	-0.941334295890196	0.853902887015708	0.9495908224914	-0.795494358605022	0.936376371886878	0.713973176658539	0.858892589687545	-0.166850191504652	-0.63669482916626	0.848501030871741	0.922383890869467	-0.289798668219839	-0.00141158598970756	0.192397611088057	-0.951058672658607	0.554043847758449	-0.480844389698726	0.632714106431051	0.132505719745303	-0.801309425348234	-0.51122655648855	-0.469063526462483	-0.195861348312693	-0.966451432313426	-0.817947668334282	0.746903851543594	0.622842190099752	-0.49799325629138	-0.890765072640914	-0.934298166316348	-0.860862471460395	-0.916043079363252	-0.89814114852452
RL569-mf	-0.654902478235904	-0.962004938583172	-0.541547963423592	0.211783174334216	-0.741604195951453	-0.930296092163498	-0.941334295890196	1	-0.871114158283014	-0.984694173623346	0.735365136087248	-0.95409677797671	-0.772528508822274	-0.931210069061839	0.0722497771534456	0.493318158291176	-0.848960982821553	-0.855214821995924	0.502909611879981	0.247628005636285	-0.147101519451426	0.976775111396079	-0.651399154392565	0.327861028211141	-0.643571639198012	-0.346930712260439	0.806987873360854	0.618799764811709	0.599844877581411	0.425743663139993	0.913736666553326	0.936943776708877	-0.625146317171378	-0.721140171257299	0.365167940250838	0.942455687664379	0.804488334126135	0.925932953686751	0.958338620909699	0.900192654580479
RL573-mf	0.826160661274405	0.881422523614217	0.396576227903753	-0.329608405532585	0.742738200180747	0.719015584970082	0.853902887015708	-0.871114158283014	1	0.929771203049347	-0.630334661662006	0.900549039961868	0.656651120059311	0.795516288935589	-0.415349186503555	-0.746820120710917	0.869509830191124	0.793242745302438	-0.2259401031067	0.0823628662372692	-0.068884830774866	-0.908523097393262	0.890574387296157	-0.170893235424939	0.903868973095372	-0.0676161217540669	-0.852928712050333	-0.723617902538392	-0.659401902394418	-0.078645536693971	-0.781556514149398	-0.768107362907877	0.492042743952874	0.869138908994818	-0.643670506596927	-0.75464059236147	-0.782124191996624	-0.831752942776735	-0.848106024296812	-0.865460198430917
RL585-mf	0.76799676205828	0.981774369634731	0.497325022434984	-0.269335234418783	0.810813460553168	0.913183112810844	0.9495908224914	-0.984694173623346	0.929771203049347	1	-0.760596798362509	0.981752666188605	0.728319089656031	0.939731068040216	-0.217266534705412	-0.59837552161142	0.855969219816207	0.890002285742352	-0.439798180990923	-0.153316217703363	0.143939007533228	-0.987722117999844	0.731999361058546	-0.351390090436846	0.725308791267278	0.226826821313386	-0.879024060187318	-0.705713798569787	-0.653373505794529	-0.345763931450952	-0.914956159315636	-0.915855044484449	0.624660439184317	0.780781538459882	-0.465304444729321	-0.929987841991401	-0.820683707725643	-0.94294784645022	-0.968044504125238	-0.900442689728994
