RL509-mf	RL511-mf	RL514-mf	RL516-mf	RL528-mf	RL568-mf	RL569-mf	RL573-mf	RL591-mf	RL605-mf	RL607-mf	RL613-mf	RL616-mf	RL627-mf	RL628-mf	RL651-mf	RL656-mf	RL659-mf	RL665-mf	RL667-mf	RL668-mf	RL679-mf	RL680-mf	RL683-mf	RL691-mf	RL693-mf	RL703-mf	RL704-mf	RL725-mf
RL509-mf	1	-0.195601544978552	-0.113345722300372	-0.0265625292640234	-0.113345722300372	0.0764149327733833	0.11769137607261	-0.404205924851787	0.423812889819118	-0.335860760121502	0.204746339116759	0.290023442039471	-0.717893177143014	0.0864793595416296	0.00134450659184915	0.122163839260108	-0.0970755191593051	-0.574054714203539	0.292112695065412	-0.579027051624126	-0.281380152272579	0.597476570361186	-0.395365268095747	0.416533643644311	0.527752024499169	-0.230609226553428	-0.0246288102745982	-0.0192146378023818	0.241356570987098
RL511-mf	-0.195601544978552	1	0.646630551065391	-0.403389749655864	0.646630551065391	-0.579080663151639	-0.484943536309338	0.653835909450595	-0.440197523388721	0.444651043069594	-0.273614320290183	-0.558871275642571	0.59097357151811	-0.496040162366791	-0.37603069162865	-0.0860927379761929	-0.356506394388074	0.448845650078379	-0.394630593496389	-0.00241217350703071	0.933372327440234	-0.593730613794355	0.0942423603793487	0.367906892304956	0.119266067544978	-0.0648958067928754	-0.491308068548495	-0.322756855793523	0.00168355238646192
RL514-mf	-0.113345722300372	0.646630551065391	1	-0.285338183530993	1	-0.0943335936603104	-0.028655979411461	0.286552822280945	-0.619206513205832	0.790613989510884	-0.136109301121682	-0.29041634974252	0.350680605331404	-0.64557277096357	-0.166886025841702	0.101448576632232	-0.529888695665392	0.278154801230103	-0.498080387404206	-0.313016667393432	0.507341461292102	-0.302478806906929	-0.123366588477888	0.0840878651455888	0.291095221005671	-0.314985906061792	-0.0966350683656388	-0.307028494892981	0.454562679923216
RL516-mf	-0.0265625292640234	-0.403389749655864	-0.285338183530993	1	-0.285338183530993	0.385164510228503	0.245224255753997	-0.206532004038002	0.174476738613112	-0.207145807972165	0.0720013104630777	0.281333444119903	-0.148269959799148	0.0975327562248914	0.152438544461752	-0.178417212008277	0.0681325977450645	-0.017071156850332	0.268511803787643	0.1004311404556	-0.439638591420658	0.29441122740899	-0.738507566225333	0.00537996700407218	-0.239562034595641	-0.118531413537936	-0.105766544434158	-0.607157136855356	0.115475540507781
RL528-mf	-0.113345722300372	0.646630551065391	1	-0.285338183530993	1	-0.0943335936603104	-0.028655979411461	0.286552822280945	-0.619206513205832	0.790613989510884	-0.136109301121682	-0.29041634974252	0.350680605331404	-0.64557277096357	-0.166886025841702	0.101448576632232	-0.529888695665392	0.278154801230103	-0.498080387404206	-0.313016667393432	0.507341461292102	-0.302478806906929	-0.123366588477888	0.0840878651455888	0.291095221005671	-0.314985906061792	-0.0966350683656388	-0.307028494892981	0.454562679923216
RL568-mf	0.0764149327733833	-0.579080663151639	-0.0943335936603104	0.385164510228503	-0.0943335936603104	1	0.524194622193854	-0.804684578216655	0.0469084906358998	0.117794557109183	0.337955823777992	0.184907344826873	-0.482051458322844	0.225525882800065	0.392738122286041	0.128092214508204	-0.18974908444884	0.006230528784054	0.197333518241395	-0.328915576522465	-0.695223419169479	0.542887109308965	-0.307916194774928	-0.523150866362388	0.015959727262014	0.00998672470775807	0.351020495883953	0.0645512407905866	0.206241479239673
RL569-mf	0.11769137607261	-0.484943536309338	-0.028655979411461	0.245224255753997	-0.028655979411461	0.524194622193854	1	-0.521430125919778	0.148486963812659	-0.165980363412664	-0.194981910956296	0.360711839087123	-0.544240956609442	-0.287812439872746	-0.0166536174193196	0.436390262422752	-0.394414267771361	-0.260557006509615	0.254214834436006	-0.333559896040833	-0.600498440327735	0.416100315246188	-0.105220770980859	-0.188641433340339	0.442628403912853	0.336131572784098	0.73843922421458	0.236207995819951	0.459012162032023
RL573-mf	-0.404205924851787	0.653835909450595	0.286552822280945	-0.206532004038002	0.286552822280945	-0.804684578216655	-0.521430125919778	1	-0.236103903611781	0.127179175604449	-0.350631086177449	-0.1973136907116	0.689276325086592	-0.164726004771608	-0.528033787665931	-0.253325890418143	0.0204061595256401	0.326587033721729	-0.401531338713695	0.281502134372258	0.718031913101746	-0.806346724012877	0.181568045333267	0.415435397921827	-0.170384890319012	-0.0443503548895209	-0.423271504759539	-0.202566036305484	-0.106511286040909
RL591-mf	0.423812889819118	-0.440197523388721	-0.619206513205832	0.174476738613112	-0.619206513205832	0.0469084906358998	0.148486963812659	-0.236103903611781	1	-0.845881139038715	-0.168682174983185	0.208018903981819	-0.665869165138181	0.465843481799783	-0.296403195780606	0.051649586786542	0.11149182372828	-0.352336307721726	0.849520007371724	0.00910100503982789	-0.272608069501598	0.276337136653095	-0.0575083742306033	0.0301115101559538	0.0247118050813159	-0.0410644277520193	0.267435029840187	0.322515835104917	-0.207767772607173
RL605-mf	-0.335860760121502	0.444651043069594	0.790613989510884	-0.207145807972165	0.790613989510884	0.117794557109183	-0.165980363412664	0.127179175604449	-0.845881139038715	1	0.189221274070982	-0.264270168886703	0.489406402889138	-0.455225565708157	0.18387591529476	-0.0449357908429721	-0.278719926325555	0.401934898222996	-0.754239037394326	-0.10333159014619	0.317921008129069	-0.236296739124354	-0.0522041005301509	-0.17418116863783	0.0836504554705388	-0.21615165188693	-0.200899375807951	-0.272024585165682	0.351268604964403
RL607-mf	0.204746339116759	-0.273614320290183	-0.136109301121682	0.0720013104630777	-0.136109301121682	0.337955823777992	-0.194981910956296	-0.350631086177449	-0.168682174983185	0.189221274070982	1	0.00177888810258261	-0.232015048052976	0.312493131225992	0.264264869116913	0.279044095713466	0.225516159605956	-0.364949640169358	-0.105501673842576	-0.129645679698595	-0.258796371349634	0.320858292987729	-0.201704777382742	0.061387707511381	-0.246514855369989	-0.197276836230699	-0.261981380952898	-0.0656888748059788	0.129107786894144
RL613-mf	0.290023442039471	-0.558871275642571	-0.29041634974252	0.281333444119903	-0.29041634974252	0.184907344826873	0.360711839087123	-0.1973136907116	0.208018903981819	-0.264270168886703	0.00177888810258261	1	-0.411877660573949	0.0703194144251981	0.0972016907502456	-0.215736346671616	0.172379822473016	-0.63384424668118	0.0342111448256677	0.0473959088472938	-0.655329825446592	0.550332124550791	-0.208193994203889	0.0476330182351637	0.117101498918696	-0.0673748034795902	0.282586480154075	0.0812880207088051	0.132942397526701
RL616-mf	-0.717893177143014	0.59097357151811	0.350680605331404	-0.148269959799148	0.350680605331404	-0.482051458322844	-0.544240956609442	0.689276325086592	-0.665869165138181	0.489406402889138	-0.232015048052976	-0.411877660573949	1	-0.157946733766051	0.0632110822937837	-0.357646093743858	0.15660279843412	0.644206253355678	-0.617845375169256	0.438002817283633	0.616963871256203	-0.721703689243654	0.237385900035099	-0.0373467969018468	-0.366822402414648	-0.0310185066748859	-0.451804903094327	-0.313974574054591	-0.225136068903512
RL627-mf	0.0864793595416296	-0.496040162366791	-0.64557277096357	0.0975327562248914	-0.64557277096357	0.225525882800065	-0.287812439872746	-0.164726004771608	0.465843481799783	-0.455225565708157	0.312493131225992	0.0703194144251981	-0.157946733766051	1	0.144155196066103	-0.224611823406072	0.489295380338819	0.00595237516890771	0.268327031807625	0.0468861440267677	-0.331775382670051	0.0128431445003654	0.0165984495948823	-0.164891007943683	-0.399890498710355	-0.192437663018332	-0.167081050562596	0.227863142554869	-0.331463230743086
RL628-mf	0.00134450659184915	-0.37603069162865	-0.166886025841702	0.152438544461752	-0.166886025841702	0.392738122286041	-0.0166536174193196	-0.528033787665931	-0.296403195780606	0.18387591529476	0.264264869116913	0.0972016907502456	0.0632110822937837	0.144155196066103	1	-0.38447742773138	0.579764499007567	0.00682851367305776	-0.178708975321143	-0.0298999988428384	-0.455269236008773	0.353703229632945	0.0344665519511898	-0.446716423945394	-0.333789128196839	0.101013762049661	-0.0849750060141834	-0.129451612884704	-0.348567996437669
RL651-mf	0.122163839260108	-0.0860927379761929	0.101448576632232	-0.178417212008277	0.101448576632232	0.128092214508204	0.436390262422752	-0.253325890418143	0.051649586786542	-0.0449357908429721	0.279044095713466	-0.215736346671616	-0.357646093743858	-0.224611823406072	-0.38447742773138	1	-0.50451670707511	-0.314749957538436	0.288144952489913	-0.117102569337345	-0.0338280000478504	0.2068425356595	0.0695542193314712	0.0222341896493038	0.334322880568492	0.0729064059699335	0.518220156360563	0.330494909451747	0.480358383006725
RL656-mf	-0.0970755191593051	-0.356506394388074	-0.529888695665392	0.0681325977450645	-0.529888695665392	-0.18974908444884	-0.394414267771361	0.0204061595256401	0.11149182372828	-0.278719926325555	0.225516159605956	0.172379822473016	0.15660279843412	0.489295380338819	0.579764499007567	-0.50451670707511	1	-0.19492581901828	-0.015662497148217	0.304806539961466	-0.214434237737989	-0.047751655487755	0.263717781898862	-0.11842247524551	-0.686051900858115	0.0502332565516292	-0.29724547045869	0.00736785540340087	-0.633892395130296
RL659-mf	-0.574054714203539	0.448845650078379	0.278154801230103	-0.017071156850332	0.278154801230103	0.006230528784054	-0.260557006509615	0.326587033721729	-0.352336307721726	0.401934898222996	-0.364949640169358	-0.63384424668118	0.644206253355678	0.00595237516890771	0.00682851367305776	-0.314749957538436	-0.19492581901828	1	-0.341289807370676	0.0365196160802182	0.434621725219161	-0.648354837222479	0.101814094753761	-0.281053268782037	-0.117605524964682	0.139435110608687	-0.256773632532602	-0.179420580170436	-0.140724308930042
RL665-mf	0.292112695065412	-0.394630593496389	-0.498080387404206	0.268511803787643	-0.498080387404206	0.197333518241395	0.254214834436006	-0.401531338713695	0.849520007371724	-0.754239037394326	-0.105501673842576	0.0342111448256677	-0.617845375169256	0.268327031807625	-0.178708975321143	0.288144952489913	-0.015662497148217	-0.341289807370676	1	0.109548982333731	-0.256756079896224	0.415724111301872	-0.0803230454652013	-0.137532594618347	-0.0941738761867497	-0.0120174578522131	0.395641418873009	0.237941626277132	-0.2542253707209
RL667-mf	-0.579027051624126	-0.00241217350703071	-0.313016667393432	0.1004311404556	-0.313016667393432	-0.328915576522465	-0.333559896040833	0.281502134372258	0.00910100503982789	-0.10333159014619	-0.129645679698595	0.0473959088472938	0.438002817283633	0.0468861440267677	-0.0298999988428384	-0.117102569337345	0.304806539961466	0.0365196160802182	0.109548982333731	1	0.187685650507338	-0.0972445005413155	0.263180435178536	-0.259043223362538	-0.455943524133186	-0.0574441230717042	0.0297718789157051	0.0703831972449993	-0.396611950405071
RL668-mf	-0.281380152272579	0.933372327440234	0.507341461292102	-0.439638591420658	0.507341461292102	-0.695223419169479	-0.600498440327735	0.718031913101746	-0.272608069501598	0.317921008129069	-0.258796371349634	-0.655329825446592	0.616963871256203	-0.331775382670051	-0.455269236008773	-0.0338280000478504	-0.214434237737989	0.434621725219161	-0.256756079896224	0.187685650507338	1	-0.697095172559346	0.199508045135178	0.321228733436386	-0.0139632587612342	-0.153940361329252	-0.475344850705055	-0.212879397737905	-0.0833520248663588
