NASH	Control	NASH	NASH	NASH	Control	NASH	Control
RL518-mf	RL585-mf	RL601-mf	RL606-mf	RL641-mf	RL654-mf	RL663-mf	RL686-mf
122.426	111.966	110.588	48.5622	131.932	122.894	15.8781	424.072
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
157.663	122.783	253.386	77.9841	213.968	69.67	95.5308	286.34
312.814	306.345	423.827	149.762	365.135	129.962	184.405	1502.05
0	7.3122	0	0	0	0	0	18.1145
0	0	0	0	0	0	0	0
42.6003	52.6914	7.55709	20.873	60.065	13.1674	12.8624	18.86
96.4228	60.9093	101.967	35.0139	66.1107	87.2694	22.3751	420.473
90.5809	45.1895	86.1019	33.261	70.6414	81.9099	0	337.066
41.4351	68.0017	91.4368	27.0462	64.2457	50.4202	11.4713	294.162
27.2217	58.3858	79.4216	27.3658	97.7285	6.53318	34.4567	298.247
0	0	0	0	0	0	0	0
0	0	0	0	1.51745	0	0	0
161.68	154.014	324.375	107.038	135.365	65.1144	44.5006	472.501
340.186	201.154	561.234	106.393	273.216	104.303	88.3805	957.837
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	8.91895	26.8818	0	0	0	0	33.5773
27.0251	54.3556	12.9145	26.685	80.181	4.31424	42.2968	32.2659
59.9682	72.5727	74.4987	10.7938	61.3093	48.7205	14.5945	363.984
65.3798	79.7492	153.903	34.8997	98.1065	47.9143	16.4928	466.461
7.03442	3.03593	19.2815	3.34071	4.62914	10.9797	0	60.6443
41.9474	78.2615	33.9324	35.0159	44.1037	24.8801	31.0515	208.976
31.4185	53.3288	77.0893	18.8511	42.8065	49.3275	11.1057	158.582
8.6785	0	0	0	0	0	0	20.3338
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
140.551	196.764	352.747	99.8174	223.794	70.4192	72.178	803.169
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
23.6812	0	0	0	1.42674	0	0	0
61.6896	16.1144	128.906	10.3956	7.54978	12.9767	62.9272	26.1155
0	0	0	0	0	0	0	0
12.0744	31.8915	9.72994	8.84319	0	7.61929	0	6.17996
18.742	19.5107	19.6229	6.98376	0	4.36221	0	6.08056
0	4.53638	43.036	0	0	0	0	17.8318
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
21.1614	22.3004	90.4883	34.7552	13.6404	0	10.3906	104.191
147.241	105.527	106.977	66.5594	14.7125	6.04856	22.3252	666.96
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
218.691	188.211	289.077	161.74	426.646	42.0953	143.781	921.353
486.327	0	0	0	299.747	0	36.1287	0
27.5462	16.1074	73.7425	20.8268	4.19518	0	7.40769	130.19
0	5.09573	1.79274	2.87205	0	3.86607	0	0
53.3645	27.1942	56.5618	24.108	35.7034	67.1718	8.19182	189.025
0	78.5022	0	0	0	21.1397	0	7.46671
614.228	526.652	794.601	249.955	877.334	334.233	142.427	2892.95
0	0	0	0	0	0	0	0
0	45.4875	39.3243	37.105	68.9547	0	47.3483	108.516
0	0	0	0	0	0	0	0
206.155	171.29	306.843	121.859	305.413	79.2098	177.7	410.28
0	0	0	0	0	0	0	0
11.658	9.72104	8.94162	0	17.2469	10.3809	0	42.6487
0	0	0	0	0	0	3.45797	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
26.6191	37.7243	27.22	20.7025	19.0837	7.00937	13.0199	132.738
63.8673	87.7225	123.424	46.7075	60.3797	81.227	29.8989	268.301
0	0	0	0	0	0	0	14.9043
59.4141	39.6283	63.5182	10.3147	31.9046	54.589	9.07085	219.43
211.225	179.895	442.757	134.905	159.344	71.4155	47.2102	624.536
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
15.8064	71.4552	146.955	0	46.8299	0	67.7743	521.646
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	27.139
683.263	302.779	347.753	100.314	226.411	86.4174	15.7239	1326.61
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	25.4388
0	0	0	0	0	0	0	0
0	2.83453	0	0	0	2.37543	0	0
84.713	97.4725	198.873	51.2913	128.291	100.756	43.7798	500.564
257.028	232.948	400.559	49.4279	333.535	78.7252	51.2013	503.994
93.7603	50.9202	150.47	31.3947	77.0019	33.9847	33.821	635.234
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
11.2142	0	33.1234	0	0	0	0	0
0	0	0	0	7.31336	0	0	0
0	0	0	0	20.4959	0	23.6198	0
0	0	0	0	39.1129	0	52.1593	0
0	0	0	0	64.0431	0	0	33.6552
84.0027	13.2724	17.1829	7.0191	20.8451	0	10.3565	46.2713
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
156.951	47.7609	74.7162	16.8253	38.7048	16.992	5.51693	243.815
12.6454	11.3327	11.5391	8.02696	27.0753	6.75136	0	34.8335
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	10.6463
289.952	251.916	386.225	102.64	294.47	89.5029	35.3452	946.522
10.5227	8.99224	0	0	0	7.69498	0	104.075
56.5896	42.2534	55.8589	23.8476	35.3249	0	26.8462	145.402
21.653	3.20568	11.7182	0	26.0553	0	0	37.0523
0	0	0	0	0	0	0	0
32.3019	55.2591	64.2356	9.04282	52.6474	46.2332	37.4657	402.019
43.5327	67.0752	97.6343	15.8355	74.1118	46.3927	20.955	459.123
32.1327	81.3354	39.5701	36.3802	177.921	53.4995	73.9833	86.3993
92.4648	103.61	230.947	59.4381	122.386	61.8022	47.4027	666.15
31.6499	13.6656	30.4846	0	0	15.7642	18.6772	160.756
0	0	0	0	0	0	0	0
0	4.15528	0	0	0	0	0	9.69571
0	0	0	11.2829	24.5798	0	0	20.2507
8.99456	4.22435	6.69584	6.32505	15.9729	14.4164	6.51672	8.5415
0	5.361	0	0	0	0	0	7.5813
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
537.699	529.079	657.807	289.17	762.876	219.304	258.403	3640.85
9.36283	6.7351	19.4922	17.7091	8.66693	1.81663	6.84153	273.043
16.5871	6.75759	23.9951	4.93416	0	0	11.8238	3.92911
