sample	COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	Val	Leu/Ile	Phe	Tyr
RL514-mf	0	193.86	181.33	63.45	49.46
RL516-mf	24.0231	168.55	146.51	77.77	42.19
RL518-mf	31.4185	249.82	224.5	82.83	61.25
RL528-mf	6.72253	268.58	214.1	73.36	74.82
RL568-mf	23.8628	232.64	217.79	71.63	54.3
RL569-mf	32.4404	226.56	234.99	76.67	44.19
RL573-mf	74.3072	218.24	190.08	77.55	53.71
RL585-mf	53.3288	245.65	251.34	81.34	66
RL591-mf	53.0209	282.98	270.74	147.52	60.03
RL601-mf	77.0893	162.21	167.44	80.3	67.7
RL605-mf	0	254.89	273.71	88.16	55.54
RL606-mf	18.8511	241.89	206.39	79.33	70.23
RL607-mf	19.4319	236.67	228.94	105.41	63.23
RL610-mf	31.4289	284.99	260.01	78.85	50.29
RL613-mf	30.7552	161.88	125.54	64.82	54.25
RL616-mf	12.0449	197.85	211.73	101.09	64
RL627-mf	128.038	273.3	235.83	120.29	80.97
RL628-mf	208.75	141.26	119.69	89.58	46.73
RL641-mf	42.8065	247.08	199.89	86.38	85.4
RL651-mf	62.6719	216.75	199.11	37.82	41.76
RL654-mf	49.3275	347.14	390.65	126.51	81.36
RL656-mf	86.2034	282.51	229.06	87.15	66.5
RL659-mf	115.489	264.27	269.85	107.44	68.69
RL663-mf	11.1057	325.2	332.97	127.58	101.58
RL665-mf	38.0977	228.47	204.27	88.12	62.2
RL667-mf	23.5442	232.88	220.03	88.11	62.77
RL668-mf	93.3599	328.17	366.81	146.28	91.39
RL679-mf	23.4412	217.01	175.88	77.17	59.68
RL680-mf	151.473	151.13	147.97	56.22	55.15
RL683-mf	142.983	183.69	188.09	61.96	53.36
RL686-mf	158.582	197.85	192.87	98.13	56.24
RL691-mf	273.549	182.43	156.2	53.9	54.43
RL693-mf	45.4864	192.74	172.55	68.79	46.19
RL700-mf	111.448	206.88	174.02	79.81	69.47
RL703-mf	143.536	214.49	219.77	71.86	52.21
RL704-mf	70.545	212.02	204.37	65.14	34.32
RL725-mf	324.359	228.2	243.9	67.12	59.6
