# Pathway	Val	Leu/Ile	Phe	Tyr	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri
RL514.mf	193.86	181.33	63.45	49.46	0	0	0
RL516.mf	168.55	146.51	77.77	42.19	8.93542	7.51514	11.0446
RL518.mf	249.82	224.5	82.83	61.25	0	0	0
RL528.mf	268.58	214.1	73.36	74.82	33.4302	27.5209	43.8698
RL568.mf	232.64	217.79	71.63	54.3	9.37429	8.09926	10.0065
RL569.mf	226.56	234.99	76.67	44.19	0	0	0
RL573.mf	218.24	190.08	77.55	53.71	25.4041	21.2575	31.0143
RL585.mf	245.65	251.34	81.34	66	20.1365	16.8792	24.1821
RL591.mf	282.98	270.74	147.52	60.03	0	0	0
RL601.mf	162.21	167.44	80.3	67.7	195.716	166.774	220.031
RL605.mf	254.89	273.71	88.16	55.54	0	0	0
RL606.mf	241.89	206.39	79.33	70.23	68.5587	55.9018	89.2038
RL607.mf	236.67	228.94	105.41	63.23	11.5134	9.30488	16.9418
RL610.mf	284.99	260.01	78.85	50.29	2.41615	2.0176	3.03992
RL613.mf	161.88	125.54	64.82	54.25	0	0	25.0796
RL616.mf	197.85	211.73	101.09	64	31.8707	24.6441	52.2141
RL627.mf	273.3	235.83	120.29	80.97	0	0	0
RL628.mf	141.26	119.69	89.58	46.73	0	0	0
RL641.mf	247.08	199.89	86.38	85.4	14.5035	11.8467	19.4044
RL651.mf	216.75	199.11	37.82	41.76	0	0	0
RL654.mf	347.14	390.65	126.51	81.36	2.07	1.87687	2.168
RL656.mf	282.51	229.06	87.15	66.5	52.7565	45.2178	58.2692
RL659.mf	264.27	269.85	107.44	68.69	10.5682	7.73559	24.6432
RL663.mf	325.2	332.97	127.58	101.58	20.5001	17.4842	24.6364
RL665.mf	228.47	204.27	88.12	62.2	18.7064	15.0754	27.1257
RL667.mf	232.88	220.03	88.11	62.77	13.2909	10.8486	18.7194
RL668.mf	328.17	366.81	146.28	91.39	0	0	0
RL679.mf	217.01	175.88	77.17	59.68	0	0	0
RL680.mf	151.13	147.97	56.22	55.15	53.625	45.4176	66.916
RL683.mf	183.69	188.09	61.96	53.36	17.7407	14.832	22.3997
RL686.mf	197.85	192.87	98.13	56.24	142.677	117.34	200.792
RL691.mf	182.43	156.2	53.9	54.43	57.9087	49.071	77.7604
RL693.mf	192.74	172.55	68.79	46.19	0	0	0
RL700.mf	206.88	174.02	79.81	69.47	26.7932	22.083	36.6317
RL703.mf	214.49	219.77	71.86	52.21	0	0	0
RL704.mf	212.02	204.37	65.14	34.32	0	0	0
RL725.mf	228.2	243.9	67.12	59.6	10.2224	8.90753	12.0779
