# Pathway	Prevotella	Butyrivibrio	Megasphaera	Val	Leu/Ile	Phe	Tyr	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	PWY-3001: superpathway of L-isoleucine biosynthesis I	PWY-5103: L-isoleucine biosynthesis III	PWY-5104: L-isoleucine biosynthesis IV	PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	PWY-6628: superpathway of L-phenylalanine biosynthesis	PWY-6630: superpathway of L-tyrosine biosynthesis	VALSYN-PWY: L-valine biosynthesis
RL514.mf	0.086987459	0.040380681	0	193.86	181.33	63.45	49.46	10.1706	7.80544	8.64104	0	0	0	0	12.6955
RL516.mf	0.269511902	0	0	168.55	146.51	77.77	42.19	57.4881	18.2635	50.1598	0	0	0	4.51691	62.8044
RL518.mf	0.000540249	0	0	249.82	224.5	82.83	61.25	211.225	60.1768	193.411	0	0	17.0933	0	211.89
RL528.mf	0.41811609	0	0	268.58	214.1	73.36	74.82	53.5885	10.7823	44.7382	0	0	0	0	71.1797
RL568.mf	0.151455438	0.007588329	0	232.64	217.79	71.63	54.3	63.7699	25.2387	56.1792	0	0	0	0	67.4319
RL569.mf	0	0	0	226.56	234.99	76.67	44.19	28.3577	25.4801	23.6517	0	0	5.55876	3.96467	36.2963
RL573.mf	0.095029927	0	0	218.24	190.08	77.55	53.71	361.102	108.704	330.524	0	0	0	0	365.13
RL585.mf	0.247117066	0.066011028	0	245.65	251.34	81.34	66	179.895	70.4971	139.977	0	0	8.84839	4.67382	301.098
RL591.mf	0	0	0	282.98	270.74	147.52	60.03	177.532	101.25	161.505	0	0	0	0	193.004
RL601.mf	0.646132427	0	0	162.21	167.44	80.3	67.7	442.757	93.3555	394.332	0	0	24.1506	10.7028	459.851
RL605.mf	0.111638608	0	0	254.89	273.71	88.16	55.54	34.2358	8.02206	32.6612	0	0	0	0	37.8136
RL606.mf	0.466095972	0	0	241.89	206.39	79.33	70.23	134.905	44.3273	114.922	0	0	0	0	156.122
RL607.mf	0.066311553	0	0.000221562	236.67	228.94	105.41	63.23	55.5662	0	48.6478	0	0	0	0	59.2269
RL610.mf	0.250386533	0	0	284.99	260.01	78.85	50.29	77.3839	28.0812	69.3453	0	0	9.87312	0	85.7784
RL613.mf	0.147764441	0	0	161.88	125.54	64.82	54.25	135.372	35.9528	128.586	0	0	0	0	136.165
RL616.mf	0.374520275	0	0	197.85	211.73	101.09	64	120.805	43.4931	99.9491	0	0	0	0	147.855
RL627.mf	0	0	0	273.3	235.83	120.29	80.97	331.203	171.054	257.276	0	0	53.8123	0	548.266
RL628.mf	0	0	0	141.26	119.69	89.58	46.73	872.629	295.758	791.244	0	0	91.6993	77.992	885.3
RL641.mf	0.257847122	0	0	247.08	199.89	86.38	85.4	159.344	90.2232	138.647	0	0	0	0	173.879
RL651.mf	0	0	0	216.75	199.11	37.82	41.76	160.551	114.923	158.942	0	0	42.2716	26.5045	161.243
RL654.mf	0.028514486	0.005845153	0	347.14	390.65	126.51	81.36	71.4155	31.4825	61.0756	0	0	9.15798	0	85.7391
RL656.mf	0.177746845	0	0.004970194	282.51	229.06	87.15	66.5	231.603	135.683	210.098	0	0	32.9482	29.7993	231.615
RL659.mf	0.05018993	0	0	264.27	269.85	107.44	68.69	186.229	102.995	164.694	0	0	29.5395	13.1192	204.605
RL663.mf	0.446600881	0	0	325.2	332.97	127.58	101.58	47.2102	34.863	41.9451	0	0	7.58764	0	52.2848
RL665.mf	0.133251388	0	0	228.47	204.27	88.12	62.2	87.6534	35.9599	78.6456	0	0	0	0	93.4546
RL667.mf	0.066864579	0	0	232.88	220.03	88.11	62.77	139.564	59.3968	140.212	0	0	9.46519	9.93698	147.8
RL668.mf	0	0	0	328.17	366.81	146.28	91.39	155.645	75.4439	139.243	0	0	24.016	0	179.306
RL679.mf	0.052410269	0.003816753	0	217.01	175.88	77.17	59.68	55.0503	30.6551	47.0111	0	0	7.53398	6.4804	71.2361
RL680.mf	0.129562612	0.00215698	0.00402157	151.13	147.97	56.22	55.15	484.944	187.975	421.542	0	0	66.7551	46.1342	537.576
RL683.mf	0.066488852	0	0.010261171	183.69	188.09	61.96	53.36	203.411	107.583	180.873	0	0	69.8679	8.86927	228.014
RL686.mf	0.547693912	0	0	197.85	192.87	98.13	56.24	624.536	280.02	579.925	0	0	84.0044	6.57256	626.985
RL691.mf	0.266113901	0	0	182.43	156.2	53.9	54.43	325.537	190.749	287.535	4.15986	0.565174	106.549	35.6727	377.558
RL693.mf	0.003374708	0	0	192.74	172.55	68.79	46.19	158.973	78.2573	132.699	0	0	29.7448	21.9738	200.952
RL700.mf	0.181603186	0.050138104	0	206.88	174.02	79.81	69.47	215.228	121.165	190.262	0	0	29.1798	10.9381	223.243
RL703.mf	0.000245851	0	0	214.49	219.77	71.86	52.21	162.499	127.023	152.547	8.10372	0	70.8885	30.6882	165.508
RL704.mf	0	0	0	212.02	204.37	65.14	34.32	111.708	67.9629	92.4153	0	0	48.7654	33.549	162.472
RL725.mf	0.03687214	0.03636471	0	228.2	243.9	67.12	59.6	310.236	198.686	273.329	29.0275	0.542252	118.446	90.7713	379.366
