# Pathway	Prevotella	Butyrivibrio	Megasphaera	Val	Leu/Ile	Phe	Tyr	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Butyrivibrio.s__Butyrivibrio_crossotus	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_copri	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_AM42_24	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella.s__Prevotella_sp_CAG_1092	ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Prevotella	PWY-5103: L-isoleucine biosynthesis III|g__Butyrivibrio.s__Butyrivibrio_crossotus	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_copri	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_AM42_24	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella.s__Prevotella_sp_CAG_1092	PWY-5103: L-isoleucine biosynthesis III|g__Prevotella	PWY-6630: superpathway of L-tyrosine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Butyrivibrio.s__Butyrivibrio_crossotus	VALSYN-PWY: L-valine biosynthesis|g__Megasphaera.s__Megasphaera_elsdenii	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_copri	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_885	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_AM42_24	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_1092	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_279	VALSYN-PWY: L-valine biosynthesis|g__Prevotella.s__Prevotella_sp_CAG_617	VALSYN-PWY: L-valine biosynthesis|g__Prevotella
RL514.mf	0.086987459	0.040380681	0	193.86	181.33	63.45	49.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL516.mf	0.269511902	0	0	168.55	146.51	77.77	42.19	0	891.327	0	7909.89	8801.217	0	567.817	0	5858.79	6426.607	0	0	0	15472	0	0	17111	0	0	32583
RL518.mf	0.000540249	0	0	249.82	224.5	82.83	61.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL528.mf	0.41811609	0	0	268.58	214.1	73.36	74.82	0	48216.9	0	0	48216.9	0	48162.6	0	0	48162.6	0	0	0	48307.7	0	0	0	0	0	48307.7
RL568.mf	0.151455438	0.007588329	0	232.64	217.79	71.63	54.3	0	16758.5	0	0	16758.5	0	14362.3	0	0	14362.3	0	0	0	21166.5	0	0	0	0	0	21166.5
RL569.mf	0	0	0	226.56	234.99	76.67	44.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL573.mf	0.095029927	0	0	218.24	190.08	77.55	53.71	0	18387.5	0	0	18387.5	0	17814.8	0	0	17814.8	0	0	0	19428.3	0	0	0	0	0	19428.3
RL585.mf	0.247117066	0.066011028	0	245.65	251.34	81.34	66	2.03488	26018.5	0	0	26018.5	1.27189	24825.8	0	0	24825.8	0	8641.04	0	28281.9	0	0	0	17895.8	0	46177.7
RL591.mf	0	0	0	282.98	270.74	147.52	60.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL601.mf	0.646132427	0	0	162.21	167.44	80.3	67.7	0	18997.7	0	0	18997.7	0	18997.7	0	0	18997.7	0	0	0	18997.7	0	0	0	0	0	18997.7
RL605.mf	0.111638608	0	0	254.89	273.71	88.16	55.54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL606.mf	0.466095972	0	0	241.89	206.39	79.33	70.23	0	22863.9	0	0	22863.9	0	21622.7	0	0	21622.7	0	0	0	25282.8	0	0	0	0	0	25282.8
RL607.mf	0.066311553	0	0.000221562	236.67	228.94	105.41	63.23	0	4133.33	0	0	4133.33	0	2688.52	0	0	2688.52	0	0	0	39480.4	0	0	0	0	0	39480.4
RL610.mf	0.250386533	0	0	284.99	260.01	78.85	50.29	0	3199.59	9310.25	1149.02	13658.86	0	2215.73	7416.95	810.306	10442.986	0	0	0	10500.6	68.2956	14997.9	2706.68	0	0	28273.4756
RL613.mf	0.147764441	0	0	161.88	125.54	64.82	54.25	0	0	0	0	0	0	0	0	0	0	0	0	0	27193.4	0	0	0	0	0	27193.4
RL616.mf	0.374520275	0	0	197.85	211.73	101.09	64	0	1.67E-05	0	0	1.67204E-05	0	1.25E-05	0	0	1.25403E-05	0	0	0	38217.8	0	0	0	0	0	38217.8
RL627.mf	0	0	0	273.3	235.83	120.29	80.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL628.mf	0	0	0	141.26	119.69	89.58	46.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL641.mf	0.257847122	0	0	247.08	199.89	86.38	85.4	0	0.00635237	0	0	0.00635237	0	0.0039691	0	0	0.0039691	0	0	0	975.925	0	0	0	0	0	975.925
RL651.mf	0	0	0	216.75	199.11	37.82	41.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RL654.mf	0.028514486	0.005845153	0	347.14	390.65	126.51	81.36	0	15136.1	27564.3	0	42700.4	0	13301.8	27424.5	0	40726.3	0	0	0	17175.2	0	27791.8	0	0	0	44967
RL656.mf	0.177746845	0	0.004970194	282.51	229.06	87.15	66.5	0	7369.23	0	0	7369.23	0	5329.53	0	0	5329.53	0	0	0	19452.3	0	0	0	0	0	19452.3
RL659.mf	0.05018993	0	0	264.27	269.85	107.44	68.69	0	0	0	0	0	0	0	0	0	0	0	0	0	19053.8	0	0	0	0	0	19053.8
RL663.mf	0.446600881	0	0	325.2	332.97	127.58	101.58	0	218.355	0	0	218.355	0	137.003	0	0	137.003	0	0	0	18647.7	0	0	0	0	0	18647.7
RL665.mf	0.133251388	0	0	228.47	204.27	88.12	62.2	0	5135.83	0	0	5135.83	0	3531.85	0	0	3531.85	0	0	0	21127.4	0	0	0	21040.6	0	42168
RL667.mf	0.066864579	0	0	232.88	220.03	88.11	62.77	0	15389.3	20136.6	0	35525.9	0	13252.9	19659.6	0	32912.5	0	0	0	21043.1	0	20956.4	0	0	0	41999.5
