sample	Val	Leu/Ile	Phe	Tyr	Prevotella_copri
RL514.mf	193.86	181.33	63.45	49.46	0.08372617
RL516.mf	168.55	146.51	77.77	42.19	0.207165184
RL518.mf	249.82	224.5	82.83	61.25	0
RL528.mf	268.58	214.1	73.36	74.82	0.41811609
RL568.mf	232.64	217.79	71.63	54.3	0.151455438
RL569.mf	226.56	234.99	76.67	44.19	0
RL573.mf	218.24	190.08	77.55	53.71	0.095029927
RL585.mf	245.65	251.34	81.34	66	0.064891946
RL591.mf	282.98	270.74	147.52	60.03	0
RL601.mf	162.21	167.44	80.3	67.7	0.520584743
RL605.mf	254.89	273.71	88.16	55.54	0.052404777
RL606.mf	241.89	206.39	79.33	70.23	0.4612043
RL607.mf	236.67	228.94	105.41	63.23	0.060855597
RL610.mf	284.99	260.01	78.85	50.29	0.054392579
RL613.mf	161.88	125.54	64.82	54.25	0.020750612
RL616.mf	197.85	211.73	101.09	64	0.374520275
RL627.mf	273.3	235.83	120.29	80.97	0
RL628.mf	141.26	119.69	89.58	46.73	0
RL641.mf	247.08	199.89	86.38	85.4	0.243796843
RL651.mf	216.75	199.11	37.82	41.76	0
RL654.mf	347.14	390.65	126.51	81.36	0.021894675
RL656.mf	282.51	229.06	87.15	66.5	0.177746845
RL659.mf	264.27	269.85	107.44	68.69	0.05018993
RL663.mf	325.2	332.97	127.58	101.58	0.440786998
RL665.mf	228.47	204.27	88.12	62.2	0.113157429
RL667.mf	232.88	220.03	88.11	62.77	0.064896959
RL668.mf	328.17	366.81	146.28	91.39	0
RL679.mf	217.01	175.88	77.17	59.68	0
RL680.mf	151.13	147.97	56.22	55.15	0.089380467
RL683.mf	183.69	188.09	61.96	53.36	0.062244883
RL686.mf	197.85	192.87	98.13	56.24	0.132103155
RL691.mf	182.43	156.2	53.9	54.43	0.234452208
RL693.mf	192.74	172.55	68.79	46.19	0.001163251
RL700.mf	206.88	174.02	79.81	69.47	0.162067167
RL703.mf	214.49	219.77	71.86	52.21	0.000245851
RL704.mf	212.02	204.37	65.14	34.32	0
RL725.mf	228.2	243.9	67.12	59.6	0.036046856
