"Var1"	"Var2"	"value"
"1"	"Butyrivibrio"	"Prevotella"	0.0244399914375424
"2"	"Megasphaera"	"Prevotella"	0.00970667378140267
"3"	"Val"	"Prevotella"	-0.108713040660384
"4"	"Leu.Ile"	"Prevotella"	-0.229782434943764
"5"	"Phe"	"Prevotella"	-0.0183159911911696
"6"	"Tyr"	"Prevotella"	0.310182500172534
"7"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.0157789766520812
"8"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_copri"	"Prevotella"	0.593527755023691
"9"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_sp_AM42_24"	"Prevotella"	0.0357382080133462
"10"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella.s__Prevotella_sp_CAG_1092"	"Prevotella"	0.218801543468675
"11"	"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Prevotella"	"Prevotella"	0.571696849091785
"12"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.0157789766520812
"13"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_copri"	"Prevotella"	0.5912950487352
"14"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_sp_AM42_24"	"Prevotella"	0.0357382080133462
"15"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella.s__Prevotella_sp_CAG_1092"	"Prevotella"	0.218801543468675
"16"	"PWY.5103..L.isoleucine.biosynthesis.III.g__Prevotella"	"Prevotella"	0.568471828897299
"17"	"PWY.6630..superpathway.of.L.tyrosine.biosynthesis.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	-0.109632833861067
"18"	"VALSYN.PWY..L.valine.biosynthesis.g__Butyrivibrio.s__Butyrivibrio_crossotus"	"Prevotella"	0.0818935742488956
