"OTU"	"RL704.mf"	"RL703.mf"	"RL683.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL610.mf"	"RL607.mf"	"RL605.mf"	"RL591.mf"	"RL569.mf"	"RL514.mf"
"1"	"Absiella"	0	0	0.000147360044797454	0	0	0	0	0	0	0	0	0
"2"	"Adlercreutzia"	0	0	0	0.000364597814511518	0	0	0	0	0	0	0	0
"3"	"Agathobaculum"	0	0.00844499078057775	0.00962261092527372	0.000207217462923812	0	0.00255857092184147	0.00185883293087574	0	0.00138772230946207	0.000728749580354876	0	0
"4"	"Akkermansia"	0	0	0	0.000165249369167091	0	0	0.00469051300314438	0.00932405236240099	0	0	0	0
"5"	"Alistipes"	0	0.0363245236631838	0.0050691855410324	0.0479590391404934	0	0	0.00125080346750517	0	0.00120512726874338	0.0235410679047221	0.0130313349463811	0.035933469714489
"6"	"Allisonella"	0	0	0.000623824189642554	0	0	0	0	0	0	0	0	0
"7"	"Anaerostipes"	0.00601546101469308	0	0.00274089683323264	0.0285120736959726	0.00359425735699553	0.0901431055236057	0	0.00150477280700135	0	0.0225912369910012	0	0
"8"	"Anaerotignum"	0	0	0.00163078449575849	0	0	0	0	0	0	0	0	0
"9"	"Anaerotruncus"	0.00190276284578235	0.00183159188690842	0.000943104286703703	0	0	0	0	0	0	0	0.00074678137228545	0
"10"	"Asaccharobacter"	0	0	0	0.000264923591839304	0	0	0	0	0	0	0	0
"11"	"Bacteroides"	0.502901073397157	0.300307314074985	0.0652903238482584	0.119278568468322	0.153164376008332	0.391641613993057	0.0913607699390233	0.0433337641476339	0.0621918708687872	0.415870364456672	0.154329838396511	0.214859616353879
"12"	"Barnesiella"	0	0.00154886293792256	0	0.00444599493235268	0	0	0	0.00799468252063293	0	0	0	0.028106377301432
"13"	"Bifidobacterium"	0	0	0	0	0	0.00936204360037448	0	0.0025848858034379	0	0	0	0
