#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	RL725-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL704-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL703-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL700-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL693-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL691-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL686-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL683-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL682-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL680-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL679-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL668-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL667-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL665-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL663-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL659-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL656-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL656-6_nonrrna_nohost_merged_metaphlan_bugs_list	RL656-3_nonrrna_nohost_merged_metaphlan_bugs_list	RL656-12_nonrrna_nohost_merged_metaphlan_bugs_list	RL654-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL651-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL641-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL628-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL627-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL625-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL621-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL619-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL616-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL613-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL610-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL607-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL606-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL605-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL601-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL591-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL585-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL573-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL569-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL568-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL528-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL518-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL516-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL514-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL511-mf_nonrrna_nohost_merged_metaphlan_bugs_list	RL509-mf_nonrrna_nohost_merged_metaphlan_bugs_list
k__Archaea	2157	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	1.7493	0	0	2.7015
k__Archaea|p__Euryarchaeota	2157|28890	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	1.7493	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	1.7493	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	1.7493	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	1.7493	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	0.76458	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0.67073	0	0	1.86128	1.03567	0	0	0	0	0.55126	0	0	0	3.8887	0	0	0	1.006	1.42023	0	0	0	0	0	0	0.46568	0	0	0	0	0.66829	0	0	0	0	0	0.21276	0	0	0	0	0	0.76458	0	0	2.7015
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98472	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.98472	0	0	0
k__Bacteria	2	99.32927	100.0	100.0	98.13872	98.96433	100.0	100.0	100.0	100.0	99.23689	100.0	100.0	100.0	96.1113	100.0	100.0	100.0	98.994	98.57977	100.0	99.47441	100.0	100.0	99.62782	100.0	99.48133	100.0	100.0	100.0	99.46639	99.33171	100.0	100.0	100.0	100.0	100.0	99.75434	100.0	100.0	100.0	100.0	100.0	98.2507	100.0	100.0	97.2985
k__Bacteria|p__Actinobacteria	2|201174	1.70041	3.05177	0.02316	0.6504	2.1119	0.37148	7.93347	0.84199	2.37932	1.3535	1.54245	0.42179	5.8202	1.13526	1.23472	0.25968	11.30198	1.83167	6.78233	25.86313	0.01688	1.68092	0	12.33715	2.083	1.80633	8.44125	4.39065	5.15946	5.97433	1.68983	3.20424	1.34023	8.72167	1.8949	0.99143	0.62364	1.33542	0	1.40357	3.40468	15.92436	2.50863	0.30929	0.90315	5.14992
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.07708	0	0	0	0	0	0	0	0.39348	0	0	0	1.16908	0	0.41166	0	1.26296	0.03968	0.386	1.37989	0	0	0	0.93613	2.0477	1.64724	0	0	0.75228	0	0	0.25813	0	0	0	0	0	0.16799	0	0	0	0	0	0	0	1.06516
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus	2|201174|1760|2037|2049|1654|1660	0.01011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.06423	0	0	0	0	0	0	0	0.39348	0	0	0	1.16908	0	0.41166	0	1.26296	0.03968	0.386	1.37989	0	0	0	0.93613	2.0477	1.64724	0	0	0.75228	0	0	0.25813	0	0	0	0	0	0.16799	0	0	0	0	0	0	0	1.06516
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.06423	0	0	0	0	0	0	0	0.39348	0	0	0	1.16908	0	0.41166	0	1.26296	0.03968	0.386	1.37989	0	0	0	0.93613	2.0477	1.64724	0	0	0.75228	0	0	0.25813	0	0	0	0	0	0.16799	0	0	0	0	0	0	0	1.06516
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	2|201174|1760|85004|31953|240233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	2|201174|1760|85004|31953|240233|218139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.063	0	0	0	0	0	0	0	0.39348	0	0	0	1.16908	0	0.41166	0	1.26296	0.03968	0.386	1.3654	0	0	0	0.93613	2.0477	1.64724	0	0	0.75228	0	0	0.25813	0	0	0	0	0	0.16799	0	0	0	0	0	0	0	1.06516
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08214	0	0.13928	1.14623	0	0	0	0	0	1.64724	0	0	0	0	0	0.25813	0	0	0	0	0	0.16799	0	0	0	0	0	0	0	1.06516
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	2|201174|1760|85004|31953|1678|28025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	0.02316	0	0	0	0	0	0	0	0.39348	0	0	0	1.16908	0	0.23908	0	1.11269	0	0	0	0	0	0	0	0.07317	0	0	0	0.75228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	2|201174|1760|85004|31953|1678|1686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	2|201174|1760|85004|31953|1678|1689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03968	0.02115	0.10302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	0.03985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13002	0	0.06813	0	0.22556	0.11615	0	0	0	0.26261	0.53446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04255	0	0	0	0	0	0	0	0	0	0.73447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella	2|201174|1760|85004|31953|2701	0.00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella_vaginalis	2|201174|1760|85004|31953|2701|2702	0.00123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2|201174|1760|85007|1653|1716	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_durum	2|201174|1760|85007|1653|1716|61592	0.00275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.62333	3.05177	0.02316	0.6504	2.1119	0.37148	7.93347	0.84199	1.98584	1.3535	1.54245	0.42179	4.65112	1.13526	0.82306	0.25968	10.03903	1.79199	6.39633	24.48324	0.01688	1.68092	0	11.40102	0.03529	0.15909	8.44125	4.39065	4.40718	5.97433	1.68983	2.94611	1.34023	8.72167	1.8949	0.99143	0.62364	1.16743	0	1.40357	3.40468	15.92436	2.50863	0.30929	0.90315	4.08476
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.37129	3.05177	0	0.3808	2.02801	0.36136	6.60145	0.84199	1.96732	1.33676	1.54245	0.42179	4.65112	1.13526	0.82306	0.24013	10.01707	1.64512	6.12561	24.33745	0.01688	1.58098	0	10.63456	0	0.15909	8.44125	3.80208	4.40718	4.64199	1.68983	2.94611	1.34023	8.16072	1.8949	0.99143	0.58949	0.75683	0	1.40357	3.34945	12.39969	2.50863	0.30929	0.69353	4.08476
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.03956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05433	0	0.02378	0.01256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	2|201174|84998|84999|1643824|1380	0.03165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_vaginae	2|201174|84998|84999|1643824|1380|82135	0.03165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	2|201174|84998|84999|1643824|133925	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05433	0	0.02378	0.01256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	2|201174|84998|84999|1643824|133925|1299998	0.00791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05433	0	0.02378	0.01256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.33173	3.05177	0	0.3808	2.02801	0.36136	6.60145	0.84199	1.96732	1.33676	1.54245	0.42179	4.65112	1.13526	0.82306	0.24013	9.96273	1.64512	6.10183	24.3249	0.01688	1.58098	0	10.63456	0	0.15909	8.44125	3.80208	4.40718	4.64199	1.68983	2.94611	1.34023	8.16072	1.8949	0.99143	0.58949	0.75683	0	1.40357	3.34945	12.39969	2.50863	0.30929	0.69353	4.08476
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	1.30771	3.03788	0	0.3808	2.02801	0.36078	6.58829	0.83984	1.96732	1.33676	1.54245	0.42179	4.65112	1.13526	0.82306	0.24013	9.94538	1.64512	6.07993	24.20895	0.01688	1.56668	0	10.55593	0	0.15909	8.29289	3.80208	4.40718	4.60403	1.6791	2.94611	1.34023	8.16072	1.8949	0.99143	0.58949	0.75683	0	1.40357	3.34945	12.28532	2.50863	0.30929	0.69353	4.08476
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	1.26989	3.03788	0	0.3808	2.02801	0.3464	6.50883	0.82213	1.95679	1.33676	1.54245	0.41295	4.62404	1.13526	0.82306	0.24013	9.81612	1.62812	5.95952	23.91685	0.01688	1.54233	0	10.45085	0	0.15909	8.11751	3.80208	4.40718	4.60403	1.6791	2.94611	1.34023	8.16072	1.883	0.99143	0.58949	0.75683	0	1.40357	3.34945	12.28532	2.50863	0.30929	0.69353	4.08476
