"OTU"	"RL704.mf"	"RL703.mf"	"RL683.mf"	"RL651.mf"	"RL641.mf"	"RL628.mf"	"RL610.mf"	"RL607.mf"	"RL605.mf"	"RL591.mf"	"RL569.mf"	"RL514.mf"
"1"	"Absiella_dolichum"	0	0	0.000147360044797454	0	0	0	0	0	0	0	0	0
"2"	"Adlercreutzia_equolifaciens"	0	0	0	0.000364597814511518	0	0	0	0	0	0	0	0
"3"	"Agathobaculum_butyriciproducens"	0	0.00844499078057775	0.00962261092527372	0.000207217462923812	0	0.00255857092184147	0.00185883293087574	0	0.00138772230946207	0.000728749580354876	0	0
"4"	"Akkermansia_muciniphila"	0	0	0	0.000165249369167091	0	0	0.00469051300314438	0.00932405236240099	0	0	0	0
"5"	"Alistipes_finegoldii"	0	0.00031960663798402	6.87680209054784e-05	0	0	0	0	0	0	0	0	0
"6"	"Alistipes_indistinctus"	0	0	0.000545232165750578	0	0	0	0	0	0	0	0	0
"7"	"Alistipes_inops"	0	0	0	0	0	0	0	0	0	0	0.000507811333154106	0
"8"	"Alistipes_putredinis"	0	0.0351690227412415	0.00424396929016666	0.0479590391404934	0	0	0.00125080346750517	0	0	0.0235410679047221	0.012523523613227	0.035933469714489
"9"	"Alistipes_shahii"	0	0.000835894283958205	0.000211216064209684	0	0	0	0	0	0.00120512726874338	0	0	0
"10"	"Allisonella_histaminiformans"	0	0	0.000623824189642554	0	0	0	0	0	0	0	0	0
"11"	"Anaerostipes_caccae"	0	0	0	0	0.00359425735699553	0	0	0	0	0	0	0
"12"	"Anaerostipes_hadrus"	0.00601546101469308	0	0.00274089683323264	0.0285120736959726	0	0.0901431055236057	0	0.00150477280700135	0	0.0225912369910012	0	0
"13"	"Anaerotignum_lactatifermentans"	0	0	0.00163078449575849	0	0	0	0	0	0	0	0	0
"14"	"Anaerotruncus_colihominis"	0.00190276284578235	0.00183159188690842	2.45600074662423e-05	0	0	0	0	0	0	0	0	0
"15"	"Anaerotruncus_sp_CAG_528"	0	0	0.000918544279237461	0	0	0	0	0	0	0	0.00074678137228545	0
"16"	"Asaccharobacter_celatus"	0	0	0	0.000264923591839304	0	0	0	0	0	0	0	0
"17"	"Bacteroides_caccae"	0.0297957303025649	0	0.00298158490640181	0.00232660619763825	0	0.00215152554791215	0.00109445303406702	0	0	0	0.00356961495952445	0.00670046547481396
"18"	"Bacteroides_cellulosilyticus"	0	0.00846957590657652	0	0	0	0	0	0	0	0	0	0
"19"	"Bacteroides_coprocola"	0	0	0	0	0	0.00223874955661129	0	0	0	0	0	0
"20"	"Bacteroides_dorei"	0	0	0	0.00171544583230599	0	0.00805368346988736	0	0	0.00215462148048059	0	0.00970815783971085	0.000741201933054641
"21"	"Bacteroides_faecis"	0	0	0	0.00745195964767785	0	0	0	0	0	0	0	0
"22"	"Bacteroides_faecis_CAG_32"	0	0	0	0.00425713851044743	0	0	0	0	0	0	0	0
"23"	"Bacteroides_finegoldii"	0.00183450229526101	0.00205285802089736	0	0.00249185556680534	0	0	0	0	0	0	0	0
"24"	"Bacteroides_fragilis"	0.0104353316609498	0	0	0	0	0.000238412290444319	0	0.0130075146323	0	0	0	0
"25"	"Bacteroides_intestinalis"	0	0	0.00231355270332002	0	0	0	0	0	0	0	0	0
"26"	"Bacteroides_massiliensis"	0	0.00421634910878918	0	0.0178521778817654	0	0	0	0	0	0	0	0.00865723857807821
"27"	"Bacteroides_nordii"	0	3.68776889981561e-05	0	0	0	0	0	0	0	0	0	0
"28"	"Bacteroides_ovatus"	0.0378590078328982	0	0.00237740872273225	0.00187282618389369	0	9.88538765256933e-05	0	0	0	0.00736937777886954	0	0.00335023273740698
"29"	"Bacteroides_plebeius"	0	0	0	0.000194102433624837	0	0.288153235138483	0	0	0.0031041156922178	0	0	0
"30"	"Bacteroides_salyersiae"	0.018694858274032	0	0	0	0	0	0	0.000581599305773527	0	0	0.00483914329240971	0
"31"	"Bacteroides_sp_CAG_144"	0	0	0.00393451319609201	0	0	0	0	0	0	0	0	0
"32"	"Bacteroides_stercoris"	0.0956500964180276	0.167166564228642	0.00167008050770447	0.00182036606669779	0	0.0204162329695123	0.0052464256553689	0.00349882756965344	0.0184786181207318	0.271676205916792	0	0
"33"	"Bacteroides_thetaiotaomicron"	0.0464257069233263	0.0141610325752919	0.00144904044050829	0.000175741392606271	0	0	0	0.00416351249053747	0	0.00185053264224946	0	0
"34"	"Bacteroides_uniformis"	0.0682264202460793	0.0487768899815612	0.00108555233000791	0.011942545679647	0.0179917087017787	0.00198870739834042	0.0191268696905999	0.0150938867450749	0.0110287404594091	0.00424148632161602	0.125459270543956	0.0522992083963355
"35"	"Bacteroides_vulgatus"	0.193979419444018	0.0554271665642286	0.0485698707652407	0.0671778030752121	0.135172667306553	0.0683022137453408	0.0658930215589875	0.0069884234042946	0.0274257751159479	0.130732761797146	0.0107536517609105	0.142221826914525
"36"	"Bacteroides_xylanisolvens"	0	0	0.000908720276250964	0	0	0	0	0	0	0	0	0.00088944231966557
"37"	"Barnesiella_intestinihominis"	0	0.00154886293792256	0	0.00444599493235268	0	0	0	0.00799468252063293	0	0	0	0.028106377301432
"38"	"Bifidobacterium_adolescentis"	0	0	0	0	0	0	0	0.0025848858034379	0	0	0	0
"39"	"Bifidobacterium_catenulatum"	0	0	0	0	0	0.0067336934715737	0	0	0	0	0	0
"40"	"Bifidobacterium_longum"	0	0	0	0	0	0.00262835012880079	0	0	0	0	0	0
"41"	"Bilophila_wadsworthia"	0.00232939128654073	0	0.000265248080635417	0.000529847183678608	0	0	0	0	0	0.000433974469200095	0	0
"42"	"Blautia_hansenii"	0.0013908087168723	0	0	0	0	0	0	0	0	0.0109885610880477	0	0
"43"	"Blautia_obeum"	0.00179183945118517	0.00161032575291948	0.0227425669137403	0.00281973129927972	0	0.00835606003337772	0	0.00684071564409815	0.0169813387868385	0	0.0078113331541058	0
"44"	"Blautia_producta"	0	0.00489244007375538	0	0	0	0	0	0	0	0	0	0
"45"	"Blautia_sp_CAG_257"	0.00214167477260704	0	0.000176832053756944	0	0	0	0	0	0	0.167039229654376	0	0
"46"	"Blautia_wexlerae"	0.00366900459052202	0.00213890596189305	0.00351208106767264	0.00175479092020292	0.13161925378316	0	0.00906832513941247	0	0	0	0	0.0146165021198375
"47"	"Butyricicoccus_pullicaecorum"	0	0	0	0	0.00220556701451998	0	0	0	0	0	0	0
"48"	"Butyricimonas_synergistica"	0.0058021467943139	0	0	0	0	0	0	0	0	0	0	0
"49"	"Butyricimonas_virosa"	0.00254270550691991	0.000565457897971727	0.0030110569153613	0.00751228878245314	0	0	0.000972847141392909	0	0	0	0	0
"50"	"Butyrivibrio_crossotus"	0	0	0	0	0	0	0	0	0	0	0	0.0403806813128169
"51"	"Campylobacter_concisus"	0	0	0	0.000264923591839304	0	0	0	0	0	0	0	0
"52"	"Catenibacterium_mitsuokai"	0	0	0	0	0	0	0	0	0	0	0	0.00281656734560764
"53"	"Clostridium_baratii"	0	0	0	4.45910996165165e-05	0	0	0	0	0	0	0	0
"54"	"Clostridium_bolteae"	0.0125770064335569	0	0	0	0.000265484918414442	0	0	0	0	0.00105627748163797	0	0
"55"	"Clostridium_citroniae"	0.00162118807488182	0.00228641671788568	0	0	0	0	0	0	0	0	0	0
"56"	"Clostridium_clostridioforme"	0.00661274083175481	0	0	0	0	0	0	0	0	0	0	0
"57"	"Clostridium_innocuum"	0.00593013532654141	0.0177381684081131	0	0	0	0	0	0	0	0.0163108894838979	0	0
"58"	"Clostridium_lavalense"	0.000699670642843735	0	0	0	0	0	0	0	0	0	0	0
"59"	"Clostridium_leptum"	0	0	0.000599264182176311	0	0	0	0	0	0	0	0	0
"60"	"Clostridium_perfringens"	0	0	0	0.0827453428530959	0	0	0	0	0	0	0	0.000266832695899671
"61"	"Clostridium_saccharolyticum"	0	0	0	0	0	0	0	0	0	0.0358561169929663	0	0
"62"	"Clostridium_sp_CAG_299"	0	0	0.000422432128419367	0	0	0	0	0	0	0	0	0
"63"	"Clostridium_sp_CAG_510"	0	0	0	0	0	0	0	0	0.0558375634517767	0	0	0
"64"	"Clostridium_sp_CAG_58"	0	0.0175414874001229	0.00402784122446373	0.0269985993148709	0	0	0.000191094974202178	0	0.00467443304239857	0	0.0106341667413448	0
"65"	"Clostridium_symbiosum"	0.0123466270755474	0.00324523663183774	0.00268195281531366	0	0	0	0	0	0	0	0	0
"66"	"Collinsella_aerofaciens"	0.0303759449819963	0	0.00822269049969791	0.0154232744555951	0	0.104505992289398	0.0167989854594097	0.0294584664241798	0.0816199832012563	0.00991590721134557	0	0.00308340004150731
"67"	"Collinsella_intestinalis"	0	0	0.000117888035837963	0	0	0.000290746695663804	0	0	0	0	0	0
"68"	"Collinsella_massiliensis"	0.00013652110104268	0	1.96480059729938e-05	0.00014426532228873	0	0.000372155770449669	0.000104233622292097	0	0	0	0	0
"69"	"Collinsella_stercoris"	0	0	5.89440179189814e-05	0.000243939544960943	0	0.000761756342639166	0	0	0	0	0	0
"70"	"Coprobacillus_cateniformis"	0	0.00197910264290104	0	0	0	0	0	0	0	0	0.00455536637094124	0
"71"	"Coprobacter_fastidiosus"	0	0	9.82400298649691e-06	0	0	0	0	0	0	0	0	0
"72"	"Coprococcus_catus"	0.0125258110206659	0.0229625076828519	0	0.00120395968964595	0	0	0.0207598631065094	0.00307416775908864	0	0	0	0.00539595007263779
"73"	"Coprococcus_comes"	0.060419119780201	0.0270067609096497	0.0675842285456055	0.0513269786644703	0	0.00689651162114543	0.0238000104233622	0.155176233821384	0.00781506774276011	0.0986350274714027	0.0454192430624011	0.030507871564529
"74"	"Coprococcus_eutactus"	0	0	0	0.00198036942414529	0	0	0.0201692059135208	0	0.0686192163020852	0	0	0
"75"	"Desulfovibrio_piger"	0	0	0.00102169631059568	0	0	0	0	0	0	0.00650961703800142	0	0
"76"	"Dialister_sp_CAG_357"	0.0162972064369699	0	0	0	0	0	0	0.0155831687007256	0	0	0	0
"77"	"Dielma_fastidiosa"	0	0.00181929932390903	0	0	0	0	0	0	0	0.000384845284007631	0	0
"78"	"Dorea_formicigenerans"	0	0.0114074984634296	0.0226590628883551	0.0172200334695548	0.00492168194906774	0.0136418349605457	0.00411722808053785	0.0433429958826462	0.0242851404155863	0.00232544809910994	0.0110075574274875	0.03513297162679
"79"	"Dorea_longicatena"	0.0224235908462602	0.0394714197910264	0.0648138597034133	0.0199977966750778	0.0342883983090653	0.0072919271272482	0.00847766794642392	0.0755155924004357	0.00613519336814812	0.0405643305739108	0.0276757176568988	0.0590293219484716
"80"	"Eggerthella_lenta"	0	0.000135218192993239	0	0	0	0	0	0	0	0	0	0
"81"	"Eisenbergiella_massiliensis"	0.0013652110104268	0.00211432083589428	0	0	0	0	0	0	0	0.00231725990157787	0	0
"82"	"Enorma_massiliensis"	0	0	0	0	0	0.000412860307842601	0	0	0	0	0	0
"83"	"Enterococcus_faecalis"	0	0.00687154271665642	0	0	0	0	0	0	0	0	0	0
"84"	"Enterococcus_faecium"	0	0.00846957590657652	0.000722064219507523	0	0	0	0	0	0	0.000384845284007631	0	0
"85"	"Erysipelatoclostridium_ramosum"	0.00249151009402891	0.0145052243392747	0	0	0	0	0	0	0	0	0	0
"86"	"Erysipelothrix_larvae"	0	0	0	0	0	0	0	0	0	0	0	0.00136381155682054
"87"	"Escherichia_coli"	0.0186010000170651	0.100454824830977	0	0.0302537495868766	0	0	0.000747007626426698	0	0	0.00511762345754829	0.160938853541237	0
"88"	"Eubacterium_dolichum_CAG_375"	0	0	9.33280283717206e-05	0	0	0	0	0	0	0	0	0
"89"	"Eubacterium_eligens"	0	0.00647818070067609	0.0289071287877672	0.000377712843810493	0	0.000465194713062086	0.0340496499487518	0	0.048095533725304	0	0.00748274935030021	0.00987280974828782
"90"	"Eubacterium_hallii"	0.0305977917711906	0.0516902274124155	0.0228260709391256	0.0396834556528399	0.0156227663528499	0.0358258078396939	0.0537150600211942	0.049574417015934	0.13029982105686	0.00338172558074791	0.0486826776592885	0.0260606599662012
"91"	"Eubacterium_ramulus"	0.00245737981876824	0.000725261216963737	0.00133115240467033	0.00530896386022526	0	0.00141884387483936	0.00159824887514549	0.00103395432137516	0	0	0	0
"92"	"Eubacterium_rectale"	0	0.0140749846342963	0.0934213564000923	0	0.163885882328915	0	0.112468078453173	0.104863278004468	0	0	0.0127998327209726	0.00219395772184174
"93"	"Eubacterium_siraeum"	0	0.00919483712354026	0	0	0	0	0	0	0.0231530511631304	0	0.00247184634226484	0
"94"	"Eubacterium_sp_CAG_180"	0	0	0	0.0118638555038532	0	0	0.00929416465437868	0.0023725558981555	0	0	0	0.0284028580746539
"95"	"Eubacterium_sp_CAG_251"	0	0	0	0	0	0	0	0.000193866435257842	0	0	0	0
"96"	"Eubacterium_sp_CAG_274"	0	0	0.00031928009706115	0.00280399326412095	0	0	0	0	0	0	0	0
"97"	"Eubacterium_sp_CAG_38"	0	0	0	0.000241316539101148	0	0	0	0	0	0	0	0.00421002697975036
"98"	"Eubacterium_ventriosum"	0.000921517432038089	0	0.000658208200095293	0.000167872375026886	0	0	0	0.00107088126142427	0	0	0	0
"99"	"Faecalibacterium_prausnitzii"	0	0.0145175169022741	0.0313926015433509	0.0511118921839671	0.00553433945310107	0.00824557628902547	0.0984312839845039	0.0116689130555197	0.0356425519482891	0	0.0415583833676853	0.0645438643303982
"100"	"Faecalitalea_cylindroides"	0	0	0	0	0	0	0	0	0	0.0025219648398798	0	0
"101"	"Firmicutes_bacterium_CAG_145"	0	0.0015119852489244	0	0	0	0	0	0	0	0	0	0
"102"	"Firmicutes_bacterium_CAG_424"	0	0	0	0	0	0	0	0	0	0.0366831249437061	0	0
"103"	"Firmicutes_bacterium_CAG_83"	0	0.00795328826060234	0	0.000521978166099223	0	0	0	0	0	0	0	0
"104"	"Firmicutes_bacterium_CAG_95"	0	0	0	0	0	0	0	0	0	0	0	0.0095170328204216
"105"	"Flavonifractor_plautii"	0.0143432481782966	0.00296250768285187	0.00220548867046856	0.000506240130940453	0.00104151775685666	0	0	0	0.0224591900083994	0.00447894405004626	0	0
"106"	"Fusicatenibacter_saccharivorans"	0.00802914725507261	0.00912108174554395	0.0123192997450671	0.00502567922736739	0.0146629362631977	0.147937733687657	0.00350919861716728	0.0243440852273776	0.000766899171018515	0.0421528408951338	0.0196179466499388	0.000711553855732456
"107"	"Fusobacterium_mortiferum"	0	0	0.00129676839421759	0	0	0.0121939164161399	0	0	0	0	0	0
"108"	"Fusobacterium_nucleatum"	0	0	0	0.00105969436735722	0	0	0	0	0	0	0	0
"109"	"Fusobacterium_periodonticum"	0	0	0	0.00811558013020601	0	0	0	0	0	0	0	0
"110"	"Gemella_haemolysans"	0	0.000184388444990781	0.000388048117966628	0.0298865287665053	0	0	0	0.00036003766547885	0	0	0	0
"111"	"Gemella_morbillorum"	0	0.000639213275968039	0	0.0028826834399148	0	0	0	0	0	0	0	0
"112"	"Gemella_sanguinis"	0.00165531835014249	0.0828641671788568	0.00202865661671161	0.0625088526447768	0.0145199828455899	0.000174448017398282	0.0116567934263329	0.00687764258414727	0.0540846510608772	0	0	0.0460731121586765
"113"	"Gemmiger_formicilis"	0	0	0.00275072083621913	8.91821992330331e-05	0	0.000540788853934675	0	0	0	0	0	0
"114"	"Giardia_intestinalis"	0	0	0	0	0	0.00372155770449669	0	0	0	0	0	0
"115"	"Gordonibacter_pamelaeae"	0	9.8340503995083e-05	0	0.000369843826231108	0	0	0	0	0	0	0	0
"116"	"Granulicatella_elegans"	0	0	0	0.00118559864862738	0	0	0	0	0	0	0	0
"117"	"Haemophilus_sp_HMSC71H05"	0	0	0	0.00118035263690779	0	0	0	0	0	0	0	0
"118"	"Holdemanella_biformis"	0	0	0	0.000225578503942378	0	0.00847817364555652	0	0	0	0	0	0
"119"	"Hungatella_hathewayi"	0	0.00365089121081746	0	0	0	0	0	0	0	0	0	0
"120"	"Intestinibacter_bartlettii"	0	0.00519975414874001	0	0	0	0	0	0	0	0	0	0.0336505677606807
"121"	"Intestinimonas_butyriciproducens"	0	0	0.000171920052263696	0	0	0	0	0	0	0	0	0
"122"	"Lachnospira_pectinoschiza"	0	0	0.0264953360545822	0.0213827437690496	0.0354728694835297	0	0.0464881955422754	0	0	0.0146323089898221	0.00710935866415748	0
"123"	"Lactobacillus_helveticus"	0	0.000282728948985864	0	0	0	0	0	0	0	0	0	0
"124"	"Lactobacillus_rogosae"	0	0	0	7.86901757938527e-05	0	0	0.00114656984521307	0	0	0	0	0
"125"	"Lactobacillus_ruminis"	0	0	0	0	0	0	0	0.000323110725429737	0	0	0	0
"126"	"Lactobacillus_sakei"	0	0	0	0.00151609738696156	0	0	0	0	0	0	0	0
"127"	"Megamonas_funiformis"	0	0	0.00583054577248591	0	0	0	0	0	0	0	0	0
"128"	"Megamonas_funiformis_CAG_377"	0	0	0.0243782634109921	0	0	0	0	0	0	0	0	0
"129"	"Megamonas_hypermegale"	0	0	0.00478920145591724	0	0	0	0	0	0	0	0	0
"130"	"Megasphaera_elsdenii"	0	0	0.010261171119396	0	0	0	0	0.000221561640294677	0	0	0	0
"131"	"Methanobrevibacter_smithii"	0	0	0	0	0	0	0.00668832409707625	0	0	0	0	0
"132"	"Mogibacterium_diversum"	0	0	0	0.00136134004123365	0	0	0	0	0	0	0	0
"133"	"Odoribacter_laneus"	0	0	0	0	0	0	0	0	0	0	0.000634764166442632	0
"134"	"Odoribacter_splanchnicus"	0.00803767982388778	0	0.000756448229960262	0.0230614675193184	0	0.000878055020904687	0.00255372374615639	0.0074961688299699	0.019428112332469	0	0.00803536756579144	0.0172848290788342
"135"	"Oscillibacter_sp_57_20"	0	0	0	0.00413385723503706	0	0	0.0050379584107847	0	0.0222765949676807	0	0.000836395136959704	0.00447685967565003
"136"	"Oscillibacter_sp_CAG_241"	0	0	0	0.000186233416045451	0	0	0	0	0.00208158346419311	0	0.00416704005735281	0
"137"	"Other"	0	0	0	0	0	0	0	0	0	0	0	0
"138"	"Parabacteroides_distasonis"	0.0995153500912985	0.00593730792870313	0.00474990544397126	0.0174429889676374	0.0238323769068965	0.00589052805414866	0.0314438093914494	0.110882369232474	0.021107986707081	0.00232544809910994	0.0277055889117902	0.0276913042189214
"139"	"Parabacteroides_goldsteinii"	0	0.00111862323294407	3.92960119459876e-05	0.00044328799030537	0	0	0	0	0	0	0	0
"140"	"Parabacteroides_johnsonii"	0	0	0	0	0	0	0.00884248562444626	0	0	0	0.0191922812677361	0
"141"	"Parabacteroides_merdae"	0.00686018532739467	0.000712968653964352	0.000564880171723572	0.00427025353974641	0	0.000546603787847951	0	0.0483189010542641	0.0108461454186904	0	0	0.0128376174805064
"142"	"Paraprevotella_xylaniphila"	0.00969299817403027	0	0.00180761654951543	0.00755163387035007	0	0.0025527559879282	0.000451679029932422	0	0	0	0	0
"143"	"Parasutterella_excrementihominis"	0	0	0.000225952068689429	0.0123123895058782	0	0	0	0	0	0.0027021051855855	0.00324849896944171	0.00151205194343147
"144"	"Phascolarctobacterium_faecium"	0	0.00410571604179471	0.00454851338274807	0	0	0.000139558413918626	0	0	0	0.000311151506218936	0	0
"145"	"Prevotella_copri"	0	0.000245851259987707	0.0622448829224444	0	0.243796842771663	0	0.0543925785660928	0.060855597200938	0.0524047766862652	0	0	0.0837261703578523
"146"	"Prevotella_sp_885"	0	0	0	0	0.0140502787591643	0	0.0883206226221705	0	0	0	0	0
"147"	"Prevotella_sp_AM42_24"	0	0	0	0	0	0	0.0159303719403089	0	0	0	0	0.00326128850544042
"148"	"Prevotella_sp_CAG_1092"	0	0	0	0	0	0	0.0731198860379063	0	0	0	0	0
"149"	"Prevotella_sp_CAG_279"	0	0	0.00424396929016666	0	0	0	0.0186230738495214	0	0.0130372859073148	0	0	0
